driverId,week,hours-logged,miles-logged
68,39,74,3400
65,37,50,1800
98,35,77,300
43,48,52,500
26,41,78,3800
104,7,55,3600
20,37,57,4000
36,45,63,3200
34,21,72,3100
61,50,63,3200
94,39,79,100
44,9,66,3700
53,29,69,1500
12,34,79,3500
69,28,78,3800
61,19,73,2500
30,7,55,3800
58,41,52,2100
60,9,73,3600
36,32,71,1900
77,32,78,3600
90,42,63,1400
80,17,51,1500
54,4,64,3700
54,46,77,900
28,32,56,2800
79,10,68,2600
74,37,64,800
20,6,71,1500
71,33,69,3500
100,52,53,800
88,27,75,1500
29,18,51,800
43,9,57,3200
95,45,67,3400
36,19,61,700
20,35,76,2100
37,20,50,600
80,11,73,1700
97,43,50,2900
14,43,51,3000
71,47,70,3200
48,11,78,2600
81,14,52,900
46,39,64,200
48,26,63,1400
33,13,59,1400
62,14,60,800
97,39,78,3900
14,12,77,1800
46,21,55,1200
97,1,59,200
107,21,80,3700
94,42,55,2400
97,36,79,800
83,6,61,1500
12,11,74,3900
11,38,76,3400
79,6,57,2400
13,32,74,1300
101,45,71,200
25,50,59,400
95,18,53,3400
87,20,78,3900
86,26,55,3000
43,42,77,3000
73,24,67,2000
77,47,50,500
79,26,56,3500
43,5,62,600
50,16,74,2100
45,20,75,900
96,25,73,2600
97,51,77,3700
101,2,53,0
59,8,77,2200
106,45,78,2900
25,46,61,3400
13,30,73,2700
37,18,55,3000
101,46,63,1900
71,7,70,900
10,1,72,1800
76,39,68,2800
83,43,74,1500
105,19,80,500
100,12,65,3500
56,52,78,3600
58,9,68,2400
93,10,65,2500
71,7,80,0
64,31,57,2200
33,19,72,3900
24,14,55,2300
45,23,62,2900
100,18,80,800
54,33,74,2600
15,14,58,1100
43,2,79,1500
80,43,61,2100
30,38,66,1000
69,3,79,3400
80,21,66,1900
87,7,54,400
54,28,75,500
27,5,73,2000
21,49,55,2200
43,48,58,3700
102,5,64,3600
51,22,59,200
63,29,69,1100
30,15,75,1300
32,21,69,3800
69,15,79,2800
50,15,54,1900
73,19,66,2400
94,51,71,3100
47,50,61,2700
62,38,76,1800
53,28,75,1000
85,12,72,2700
45,10,72,2500
26,35,69,3700
83,37,56,3100
103,9,70,1100
60,51,58,2900
34,14,70,2800
98,12,61,1200
76,37,61,3600
39,42,71,2900
33,27,74,1000
89,22,69,2400
106,6,63,500
22,12,68,800
84,25,63,900
41,23,51,3200
38,51,60,400
83,13,69,1600
52,38,67,1200
101,13,75,3200
51,45,55,700
24,6,68,400
67,2,57,3000
90,22,75,600
11,30,56,1400
81,9,62,2900
89,7,80,1300
73,44,61,3800
77,37,76,3600
79,32,79,3900
63,31,63,1200
106,7,68,1400
59,15,50,3600
83,47,54,3300
80,31,70,600
38,36,71,2400
87,47,76,2100
106,38,76,3300
77,15,60,1300
43,51,74,3800
100,21,68,3700
76,1,74,900
91,45,71,2600
34,26,73,1200
23,32,57,1000
44,19,62,0
10,34,71,3900
99,38,65,2100
72,31,50,3800
106,38,51,0
102,27,58,2100
108,51,51,3600
26,38,69,1400
44,17,53,500
61,24,67,200
30,30,74,3700
28,11,60,1500
42,19,56,2800
65,50,51,1900
13,14,80,800
60,30,69,200
73,28,52,3500
75,1,72,1200
78,21,54,800
107,50,70,3400
53,43,71,1200
81,3,57,3600
78,41,58,700
42,10,67,1900
31,2,75,3300
51,3,50,3400
85,23,68,1400
102,11,70,3900
45,15,75,1700
63,17,57,3500
92,47,60,3100
99,4,55,3200
96,36,57,1000
41,35,78,1300
28,38,56,200
63,45,55,1800
94,3,53,2700
76,16,79,3400
56,15,64,1700
84,11,69,2200
106,45,80,2200
19,52,66,3300
47,50,61,3500
101,49,51,3000
39,13,62,1700
105,38,53,1700
57,37,72,3400
48,13,68,2800
16,47,54,2800
106,34,65,1600
32,40,51,1600
37,11,70,3400
88,21,51,2300
93,37,53,1100
102,12,71,2200
13,19,57,3700
61,6,73,2100
74,25,80,600
72,50,66,2700
72,20,67,1500
95,8,77,2500
29,33,60,1300
43,11,69,4000
34,24,75,2200
29,41,73,3100
28,2,54,3900
42,6,78,3400
51,48,66,2500
32,32,80,1100
65,37,75,0
72,19,78,3500
66,1,58,3400
97,5,69,600
69,51,74,1400
68,35,61,3500
69,28,54,500
61,11,76,2100
74,3,56,3100
79,27,61,3200
68,35,64,1700
68,12,69,1300
21,9,59,1400
57,11,68,2100
33,49,80,3300
72,38,61,400
83,51,66,2700
63,8,73,2400
47,35,79,2700
106,3,67,3200
95,23,80,900
27,11,65,3900
66,28,74,1400
69,10,52,3100
60,5,78,3800
66,35,51,2100
21,24,74,1000
97,3,80,900
97,34,71,2100
25,31,77,3400
25,25,56,3900
86,43,58,500
67,10,69,3800
57,46,77,2000
75,8,63,2000
88,4,65,400
26,40,52,600
109,47,50,600
66,27,73,3100
10,6,73,500
93,30,71,2000
62,50,61,1500
24,50,72,3200
102,49,61,2900
78,17,60,3100
21,43,78,1600
76,36,68,3300
26,50,73,2700
43,33,67,900
79,48,55,3700
45,3,63,1000
95,22,57,0
47,7,57,2800
105,8,62,900
39,35,72,3900
31,33,80,200
87,5,75,2000
78,47,71,2500
34,42,78,3700
84,25,77,1800
60,17,61,2100
86,12,79,500
12,15,69,3400
15,42,50,1200
29,16,57,2100
66,24,79,900
83,41,72,800
57,38,58,4000
32,22,55,2800
83,42,69,200
80,3,63,2600
86,16,56,1500
32,10,62,200
24,47,59,2900
12,8,57,3000
94,12,80,1900
79,1,66,3100
25,45,72,0
25,20,76,100
98,32,77,900
53,2,74,3200
29,26,55,2100
107,29,69,1100
45,15,75,2000
87,4,53,3600
69,17,80,1700
86,13,69,0
61,28,74,100
78,26,52,3500
75,43,72,3000
68,38,78,2300
17,36,70,1100
67,13,73,2700
28,23,77,2000
99,39,66,4000
109,27,52,1600
13,20,51,1500
47,9,69,3700
12,8,62,2400
36,36,70,1500
104,50,75,2700
86,45,55,600
104,34,80,2300
87,28,52,1000
11,19,68,3000
24,17,71,3900
27,34,62,1700
25,26,77,900
62,48,55,3500
41,37,79,300
98,15,78,1500
104,21,62,800
14,14,57,3500
47,10,77,400
45,7,61,2700
52,44,58,1200
78,28,52,700
53,14,66,3100
103,38,75,1800
44,25,65,100
70,26,77,1400
53,28,70,3900
86,10,54,1700
49,17,54,1900
17,51,57,2500
52,23,66,2000
109,3,56,2200
95,10,57,100
64,43,55,2700
36,6,77,3200
61,6,77,3300
56,50,54,3600
46,39,66,1500
22,42,73,1200
20,20,63,3400
88,44,53,100
70,19,80,3700
90,22,71,3100
25,23,71,600
23,30,61,3600
37,28,57,3800
94,8,62,400
94,22,52,1200
46,42,70,2700
91,48,67,100
85,36,66,3400
12,37,50,1000
